case_id,Ta,Twa,Tb,Ts,Tt,Tad,theta,Nu,f,delta_p,delta_T,Q_total,image_complete,failure_reason
30353,0.0140917324151534,0.4110507147484558,0.1226908051493988,0.9563867562346796,1.0783798661112258,0.7551464900554573,8.733893385215385,32.007132,0.087241,1.3086160000000007,23.939471,1992.207916844,True,
30354,0.0384095282793201,0.2692877356117473,0.1494091204562316,1.4080440496396327,0.982978643494264,0.1979052171002621,2.555051822310672,42.806755,0.107109,1.6066389999999995,21.834591,2430.136767266,True,
30355,0.0491981269351395,0.2767584124194078,0.1382504203208752,1.4862946327256985,1.075319425324162,0.428753639024141,6.055239611077361,37.809752,0.088768,1.3315210000000004,22.95731,2256.826521422,True,
30356,0.0155927480196623,0.4520707204586253,0.1198969270769599,0.7689102956159093,1.1591654819273178,0.4869265827379465,-3.001507814067958,28.479033,0.069043,1.0356489999999994,26.312474,1948.31992976,True,
30357,0.0218439390997365,0.2385586732734418,0.1343670228256444,0.8511756785741534,0.5976154499012988,0.1046609778053359,-9.907450225042092,36.62976,0.147452,2.211773000000001,22.93745,2184.502496503,True,
30358,0.0167763151743606,0.3996780583904206,0.1332428476536747,0.6326984579823417,0.5861658246035374,0.1156671894071761,2.0286399205229806,32.087394,0.10754,1.6130940000000002,25.946853,2164.67398618,True,
30359,0.0108688098413581,0.5802892981244117,0.0803053207692351,1.3689688576015815,1.0516350542624286,0.705451021401218,7.252011745966346,31.284141,0.071558,1.0733659999999992,16.055603,1305.942950735,True,
30360,0.0311932024800217,0.3892047489311731,0.0984338293689497,1.4333434293423848,0.6545966673262948,0.9913072507777392,7.141843922234692,35.255153,0.090425,1.3563680000000016,17.488039,1603.013093561,True,
30361,0.0239774227116974,0.5460428697280245,0.0956601438498458,1.258948543114358,1.0679702530868358,0.4129306731237236,-6.599530028303287,35.3323,0.087936,1.3190469999999994,16.939407,1556.121386336,True,
30362,0.0189400557831595,0.3598130836329521,0.0927048826745588,0.855334277451383,0.9603452196694054,0.8905716493682703,4.599428417645244,27.660844,0.064529,0.9679390000000003,20.962901,1507.613997197,True,
30363,0.0476342900314693,0.541325926500892,0.1067096066334153,0.7327387969201251,0.9400334712233964,0.668542170038042,-8.982667165072268,34.40136,0.108472,1.627085000000001,19.456765,1740.281858603,True,
30364,0.0486987425770115,0.3702866498193987,0.1237110561530448,0.703622499500467,0.884615540860373,0.9095111099061138,2.2834102493175283,31.449833,0.080644,1.2096549999999997,24.694965,2019.296620942,True,
30365,0.0074070350673275,0.2081516020150063,0.1137455219643951,1.458054570678978,1.0026765895591958,0.6444248588891874,-0.0149228795772398,38.269472,0.076878,1.1531640000000003,18.565451,1847.274058963,True,
30366,0.0477741429784095,0.5045602136320896,0.0940304543417325,1.337828079550656,0.8409705512490806,0.945833630678997,-6.780958065566152,39.236181,0.102024,1.5303620000000002,15.044561,1534.756888842,True,
30367,0.021531703758931,0.2581462951464545,0.0928542715893665,0.5926122138947718,1.1926546667165452,0.6074819991661826,3.208346277913394,21.788803,0.047107,0.706601,26.6757,1511.202118421,True,
30368,0.0333711432537436,0.472143793179108,0.082869187843341,1.2727858830808474,1.1411352401541697,0.7987331127614189,-8.505975425562449,33.585423,0.087133,1.3069940000000004,15.459999,1349.999542057,True,
30369,0.0103160831375529,0.2439730365576905,0.1008161576531266,0.9019669506688814,0.973844349966249,0.3241812607078796,-7.95677082438173,31.712325,0.093219,1.3982779999999995,19.873039,1638.572730723,True,
30370,0.0219916295275575,0.2241449727146246,0.0896151967581635,0.5518197886564389,1.100371179385121,0.2650868334008976,0.0801268107950985,22.724839,0.050646,0.7596880000000001,24.691878,1458.909283889,True,
